CaseOrder,Interaction,UID,Population,Area,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
1,aa90260b-4141-4a24-8e36-b04ce1f4f77b,e885b299883d4f9fb18e39c75155d990,38,Urban,0,68,-0.39877774033771896,No,7.978322947,10,0,1,No,One year,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Credit Card (automatic),-1.0487462125145348,172.455519,-1.138487026758293,5,5,5,3,4,4,3,4
2,fb76459f-c047-4a9d-8af9-e0f7d4ac2524,f2de8bef964785f41a2959829830fb8a,10446,Urban,1,27,-0.6419544475336846,Yes,11.69907956,12,0,1,Yes,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),-1.2620011592580802,242.632554,-1.1858758365750726,3,4,3,3,4,3,4,4
3,344d114c-3736-4be5-98f7-c72c281e2d35,f1784cfa9f6d92ae816197eb175d3c71,3735,Urban,4,50,-1.07088496294323,No,10.75280028,9,0,1,Yes,Two Year,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,Credit Card (automatic),-0.709939803296579,159.947583,-0.6121377506525425,4,4,2,4,4,3,3,3
4,abfa2b40-2d43-4994-b15a-989b8c79e311,dc8a365077241bb5cd5ccd305136b05e,13863,Suburban,1,48,-0.740524915554176,No,14.91353964,15,2,0,Yes,Two Year,No,No,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Mailed Check,-0.6595239638828064,119.95684,-0.5618571466817585,4,4,4,2,5,4,3,3
5,68a861fd-0d20-4e51-a587-8a90407ee574,aabb64a116e83fdc4befc1fbab1663f9,11352,Suburban,0,83,0.009477921370873651,Yes,8.147416533,16,2,1,No,Month-to-month,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Yes,No,No,Mailed Check,-1.2425512017143743,149.948316,-1.4281844686402452,4,4,4,3,4,4,4,5
6,2b451d12-6c2b-4cea-a295-ba1d6bced078,97598fd95658c80500546bc1dd312994,17701,Urban,3,83,-0.6080721568450029,No,8.420992898,15,3,1,No,One year,Yes,No,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Electronic Check,-1.0409751428135001,185.007692,-1.0767888928661473,3,3,3,2,4,3,3,3
7,6630d501-838c-4be4-a59c-6f58c814ed6a,87d1c4223e49156020564c01a88973b9,2535,Suburban,0,79,-1.00499743131954,Yes,11.18272453,10,0,1,Yes,Month-to-month,No,No,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No,Electronic Check,-0.8051442122278709,200.118516,-0.6796212586964383,6,5,6,4,1,5,5,5
8,70ddaa89-b726-49dc-9022-2d655e4c7936,fce3f21888317907de42e298d718ccce,23144,Suburban,2,30,-0.4626942456000044,Yes,7.791632265,16,0,0,Yes,Month-to-month,No,No,DSL,No,No,No,Yes,No,No,No,No,Yes,Mailed Check,-1.1444758337339471,114.950905,-1.1041299460065446,2,2,2,5,2,3,4,5
9,05a49ee3-8fd5-453a-a5f3-82b6cd986856,6c7043ced703b84de29766af3d53c976,17351,Suburban,2,49,0.6676801523191915,No,5.739005915,20,2,3,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Bank Transfer(automatic),-0.9948475885163598,117.468591,-0.9516201278501973,5,4,4,3,4,3,4,4
10,86f17e4d-2c24-4b70-a6ec-dddf0609dbaa,6ffe183271258a039e122ced8750b2a0,20193,Rural,1,86,0.3696817477171092,No,8.707823904,18,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Mailed Check,-1.1763258177700682,162.482694,-1.319603139560853,2,2,2,2,5,2,3,3
